away-draws,away-goals,away-losses,away-opposition-goals,away-opposition-shots,away-opposition-shots-on-target,away-shots,away-shots-on-target,away-wins,home-draws,home-goals,home-losses,home-opposition-goals,home-opposition-shots,home-opposition-shots-on-target,home-shots,home-shots-on-target,home-wins,odds-away,odds-draw,odds-home,result
0,7,9,15,158,64,103,32,1,3,17,2,15,124,52,148,62,5,6.5,4.0,1.53,A
1,10,6,18,151,50,109,39,3,4,12,5,25,143,56,128,45,1,3.6,3.4,2.1,D
1,19,1,7,68,25,222,80,8,4,15,4,14,108,42,166,67,2,1.4,4.5,9.0,A
1,20,4,20,152,57,134,58,5,3,11,2,6,175,51,130,48,5,2.6,3.4,2.7,D
4,10,4,14,148,53,110,28,2,1,19,2,9,92,34,140,57,7,17.0,7.0,1.18,H
2,15,4,13,156,44,145,42,4,2,11,6,20,147,68,122,42,2,2.25,3.4,3.2,D
3,17,2,7,84,27,126,48,5,2,11,3,9,124,42,101,37,5,2.0,3.5,3.75,H
4,9,5,16,113,44,157,63,1,0,8,8,14,159,65,101,32,2,1.85,3.75,4.2,A
4,9,4,11,133,46,144,49,2,2,7,5,14,90,37,110,34,3,3.0,3.1,2.5,D
1,14,3,10,122,43,108,43,6,1,18,1,6,75,32,212,76,8,21.0,9.0,1.13,A
1,21,1,7,94,36,145,59,8,2,11,5,17,151,51,109,40,3,1.4,4.75,8.0,A
3,10,5,17,137,59,124,46,2,4,13,2,9,126,42,90,36,4,4.33,3.6,1.85,H
4,9,2,8,167,53,141,46,4,4,11,4,16,173,62,112,32,2,3.3,3.4,2.25,H
5,14,4,21,130,47,135,50,1,3,15,3,9,89,33,121,41,4,7.0,4.75,1.44,A
3,18,2,13,123,54,152,67,5,2,20,4,21,162,53,123,56,4,3.4,3.8,2.05,H
4,12,4,14,155,56,111,41,2,3,14,3,10,143,41,147,43,4,4.33,3.6,1.85,H
2,15,4,12,92,34,119,41,4,3,10,3,10,164,57,142,45,4,2.5,3.3,2.9,D
1,17,2,8,76,34,204,73,7,1,19,1,6,91,34,144,57,8,2.3,3.4,3.1,D
3,8,4,11,90,36,113,32,3,3,9,5,17,134,57,120,44,2,3.0,3.2,2.5,D
2,16,3,11,133,39,165,49,5,4,10,4,12,138,48,140,50,2,3.1,3.2,2.4,A
3,10,4,14,171,57,108,33,3,3,17,2,13,123,51,153,67,5,4.0,3.6,1.91,H
0,4,9,18,171,71,99,30,1,5,17,3,19,133,47,132,51,2,4.75,3.8,1.73,H
1,21,4,18,153,50,121,54,5,3,13,5,16,106,42,163,71,2,3.6,3.75,1.95,H
4,15,1,7,113,36,97,41,5,4,11,5,16,167,62,106,39,1,2.63,3.1,2.88,H
1,11,6,19,152,56,105,40,3,1,14,3,10,123,44,99,38,6,5.0,3.6,1.75,D
2,16,3,11,143,47,157,45,5,4,13,2,8,119,39,90,38,4,3.0,3.2,2.4,H
4,20,3,19,136,48,139,54,3,2,16,1,5,74,31,199,71,7,21.0,9.0,1.13,H
4,12,3,13,162,54,130,42,3,2,10,6,19,148,57,101,39,2,2.7,3.1,2.8,D
4,11,4,14,134,44,135,51,2,0,4,9,19,159,68,107,34,1,2.15,3.3,3.5,A
3,14,4,15,106,41,152,66,3,2,10,5,18,183,66,114,35,3,2.1,3.6,3.4,H
2,21,2,13,129,53,162,74,6,3,8,4,11,104,37,116,36,3,2.5,3.2,3.0,D
4,10,4,17,127,59,126,44,2,1,19,5,19,142,47,122,53,4,5.5,4.33,1.57,H
2,11,3,9,118,40,99,36,5,2,17,1,5,86,30,141,54,7,8.5,5.0,1.36,H
4,12,4,13,159,57,100,37,2,3,17,3,13,92,35,131,44,4,5.5,3.75,1.67,H
1,22,4,14,132,41,132,59,5,2,15,3,11,137,46,157,44,5,2.8,3.5,2.45,H
0,4,9,20,157,68,105,34,1,4,9,4,16,119,56,127,42,2,4.33,3.6,1.85,H
2,19,1,5,67,28,205,76,7,3,12,4,13,141,40,135,53,3,1.29,5.0,11.0,A
2,10,5,18,179,73,111,32,3,3,11,5,13,154,52,105,38,2,3.2,3.4,2.25,A
4,11,3,12,106,35,129,40,3,4,11,2,8,124,40,97,38,4,4.0,3.2,2.05,H
1,11,4,11,129,48,97,32,5,3,19,4,23,144,58,131,49,3,3.0,3.4,2.38,D
3,12,5,17,155,57,102,42,2,2,13,5,15,112,39,148,66,3,8.0,4.33,1.44,D
2,15,1,4,87,28,139,53,7,5,12,3,14,158,55,124,41,2,1.5,4.33,6.5,A
3,13,3,13,96,38,131,42,4,2,24,2,16,145,57,167,78,6,2.9,3.5,2.3,A
3,13,4,13,114,34,151,64,3,3,14,3,13,99,40,137,49,4,4.0,3.2,2.0,H
4,8,4,15,116,55,122,41,2,2,19,1,5,67,29,191,68,7,21.0,9.0,1.13,H
2,21,3,17,143,59,172,77,5,4,11,4,15,162,57,98,37,2,2.2,3.3,3.4,D
4,19,3,22,138,54,131,48,3,2,17,0,3,80,26,138,55,8,13.0,7.0,1.2,H
3,12,5,15,151,54,115,47,2,0,4,9,20,148,62,107,36,1,2.38,3.25,3.1,A
2,16,3,12,141,53,147,44,5,4,12,3,13,104,35,127,39,3,2.7,3.0,2.75,H
5,12,4,17,157,58,114,38,1,2,12,3,10,133,46,102,34,5,3.6,3.4,2.1,H
3,10,5,13,133,40,127,49,2,2,13,4,18,187,81,107,40,4,3.1,3.3,2.38,D
4,11,2,9,128,42,97,35,4,1,20,5,14,123,38,141,62,4,4.33,3.6,1.83,H
0,3,9,21,144,61,110,39,1,3,11,3,14,134,45,92,35,4,7.0,4.2,1.5,D
2,13,4,18,179,74,117,42,4,4,5,5,14,119,54,114,35,1,3.1,3.25,2.3,A
5,11,4,16,158,55,100,38,1,3,14,4,13,147,57,117,50,3,3.6,3.4,2.05,A
1,24,4,11,118,36,148,67,5,4,14,3,13,106,33,130,39,3,2.2,3.4,3.2,H
2,18,1,4,64,28,192,73,7,3,20,3,18,143,61,165,72,4,1.5,4.33,6.0,A
4,14,5,21,164,63,117,38,1,4,18,4,24,141,58,123,45,2,3.5,3.4,2.05,A
2,16,2,11,138,47,114,37,6,3,11,4,13,114,33,143,58,3,3.25,3.4,2.2,D
2,16,3,12,104,42,132,46,5,4,10,4,11,132,37,121,46,2,2.3,3.25,3.1,A
2,17,0,4,79,26,149,59,8,2,15,3,12,136,51,136,42,5,1.73,4.0,4.2,D
1,24,4,11,120,38,143,63,5,1,5,8,20,143,63,114,40,1,1.62,4.0,5.5,H
3,19,4,20,143,62,150,63,3,3,16,5,22,168,61,114,39,2,2.75,3.6,2.45,H
3,15,3,14,146,54,135,37,4,2,19,1,5,68,28,176,70,7,15.0,7.5,1.18,H
4,15,2,11,102,30,140,40,4,5,13,3,15,156,51,103,40,2,2.88,3.2,2.55,H
3,10,3,13,129,42,93,39,4,2,15,3,16,162,68,120,46,5,3.0,3.4,2.38,H
3,5,6,16,120,58,113,32,1,2,15,3,12,115,49,130,46,5,8.0,5.25,1.36,H
3,11,4,13,120,38,142,57,3,3,16,5,23,133,57,124,43,2,2.75,3.5,2.5,H
3,14,4,13,132,50,113,48,3,3,17,0,6,84,25,154,58,7,9.0,5.25,1.33,H
3,9,5,12,127,39,128,51,2,3,16,2,12,142,43,118,44,5,3.6,3.4,2.1,A
3,18,4,20,124,51,130,48,3,2,13,5,15,126,49,113,45,3,2.63,3.5,2.6,H
5,13,3,15,152,53,98,38,2,2,11,5,13,140,42,120,49,3,4.33,3.3,1.95,H
1,22,1,5,69,30,181,76,8,2,11,4,15,137,47,93,37,4,1.4,4.5,9.0,A
1,7,7,19,137,63,117,46,2,4,13,3,12,101,31,124,39,3,4.33,3.4,1.91,D
1,18,3,12,115,54,136,50,6,3,12,4,17,146,59,127,38,3,2.4,3.3,3.0,A
2,20,0,6,79,22,159,61,8,3,15,5,19,139,61,144,58,2,1.65,4.2,4.75,A
3,16,4,20,154,61,120,43,3,3,13,4,13,126,44,136,58,3,4.33,3.75,1.8,A
3,17,3,15,145,45,122,49,4,3,3,6,15,116,55,105,31,1,2.5,3.3,2.88,H
2,17,2,15,161,65,125,52,6,1,19,5,12,117,42,134,56,4,5.25,4.2,1.62,H
2,12,5,13,141,40,124,51,3,3,17,3,17,149,58,121,45,4,3.0,3.25,2.45,D
1,20,4,10,114,41,148,63,5,1,21,1,4,71,28,163,72,8,7.5,5.0,1.4,D
3,4,5,13,112,52,99,31,2,5,13,3,17,153,59,101,34,2,3.0,3.2,2.5,A
3,11,5,15,123,46,147,60,2,2,22,0,6,83,22,161,63,8,8.5,5.0,1.36,H
3,13,4,18,151,61,133,43,3,2,9,6,20,131,59,127,49,2,1.85,4.0,3.8,A
5,15,2,12,107,30,121,40,3,1,17,3,17,168,66,128,56,6,4.6,3.6,1.8,H
2,11,4,15,128,47,95,34,4,1,19,3,13,123,56,138,53,6,6.0,3.75,1.62,H
2,12,5,14,137,55,108,43,3,3,16,4,16,139,46,118,49,3,4.33,3.75,1.8,D
3,13,6,22,148,67,137,53,1,2,18,5,21,125,54,134,48,3,3.5,3.6,2.05,H
2,26,0,7,80,24,174,71,8,2,6,5,14,113,57,103,33,3,1.45,4.75,7.0,H
2,24,4,21,129,54,138,55,4,3,12,4,12,138,36,120,46,3,2.38,3.75,2.8,D
2,11,6,19,134,51,140,58,2,2,12,5,14,141,57,105,46,3,2.63,3.4,2.7,A
1,16,3,16,171,68,125,58,6,2,10,6,22,130,60,132,45,2,2.05,3.75,3.4,H
5,13,3,16,129,50,106,35,2,1,11,5,16,133,49,95,32,4,5.0,3.6,1.75,A
2,19,1,4,73,25,136,63,7,5,14,3,14,105,34,128,44,2,1.18,7.0,15.0,A
1,21,2,13,125,57,147,59,7,2,20,4,11,111,39,140,60,4,3.8,3.8,1.91,H
4,16,3,17,141,53,123,40,3,2,15,4,18,153,55,128,45,4,4.5,4.2,1.7,D
4,14,3,13,133,46,117,47,3,2,14,7,27,149,71,131,49,1,3.2,3.8,2.1,A
1,11,6,14,140,60,103,44,3,4,15,3,16,151,51,104,38,3,3.8,3.5,2.0,A
2,9,6,21,123,54,135,41,2,2,19,1,5,77,21,134,65,7,26.0,11.0,1.08,H
1,20,4,10,104,43,144,59,5,4,13,3,15,130,47,105,35,3,2.0,3.75,3.5,A
4,12,3,11,141,34,114,47,3,2,23,1,7,77,24,161,64,7,8.0,5.75,1.29,D
2,16,4,19,147,52,141,48,4,1,15,3,14,160,63,131,58,6,2.05,3.8,3.2,A
4,14,4,15,110,38,132,45,2,1,21,2,12,125,56,152,63,7,6.5,4.33,1.5,H
1,11,6,18,125,49,102,33,3,4,14,3,13,129,45,122,51,3,3.5,3.6,2.05,D
1,7,5,14,119,57,98,32,4,2,22,4,19,130,55,135,49,4,3.5,3.75,2.0,H
2,14,7,28,156,74,117,42,1,2,12,5,17,125,47,139,56,3,2.75,4.0,2.3,H
2,19,4,18,118,51,138,48,4,2,21,0,4,92,23,138,70,8,23.0,10.0,1.1,H
2,11,5,18,132,51,133,52,3,4,15,3,17,150,50,102,42,3,2.6,3.25,2.8,A
5,12,3,12,124,44,124,51,2,3,23,1,9,78,28,161,62,6,8.5,5.0,1.36,H
2,17,4,18,153,52,127,47,4,1,7,5,13,122,54,91,31,4,2.2,3.3,3.4,H
4,13,3,15,138,43,109,34,3,4,13,3,12,140,36,112,49,3,4.75,3.5,1.8,H
3,15,5,17,112,41,139,47,2,1,12,5,12,126,58,108,46,4,3.5,3.2,2.2,D
1,23,1,10,135,57,146,63,8,1,18,4,10,104,40,151,56,5,3.1,3.4,2.3,H
3,12,4,14,163,60,139,57,3,2,9,6,18,121,49,102,32,2,3.5,3.3,2.15,H
1,27,0,4,85,22,148,80,9,2,14,5,18,147,47,120,46,3,1.3,5.5,10.0,A
0,7,5,12,121,51,81,32,5,3,13,4,17,148,47,106,34,3,2.4,3.3,3.0,H
1,19,3,9,105,43,151,60,6,3,13,4,13,153,57,131,54,3,2.0,3.6,3.6,H
2,11,5,17,115,46,114,36,3,3,15,5,17,99,39,140,46,2,3.2,3.1,2.4,A
2,11,5,13,136,62,102,42,3,0,21,2,9,139,61,138,64,8,7.0,4.5,1.45,H
4,14,2,9,134,35,116,48,4,2,11,5,17,131,48,134,55,3,4.2,3.75,1.85,D
2,15,3,14,160,66,129,56,5,4,13,4,14,126,49,125,51,2,3.75,3.5,2.0,D
3,12,4,16,142,51,105,39,3,2,15,5,23,130,60,128,45,3,3.1,3.4,2.3,A
3,14,4,14,141,53,133,53,3,5,12,2,9,135,37,120,52,3,4.5,3.6,1.8,H
2,12,6,16,90,39,130,43,2,1,24,0,4,92,23,146,69,9,34.0,12.0,1.07,H
2,12,4,15,146,45,103,29,4,2,23,2,11,79,32,153,58,6,21.0,9.0,1.13,H
0,23,2,10,135,58,139,65,8,0,7,5,10,113,44,91,35,5,1.95,3.5,4.0,H
3,11,4,16,136,55,137,50,3,3,18,3,18,157,63,138,59,4,2.25,3.6,3.1,D
2,16,5,20,128,52,136,45,3,1,17,4,12,118,50,140,54,5,7.5,4.5,1.44,H
5,17,3,16,124,44,133,57,2,2,12,4,15,141,46,107,39,4,3.0,3.4,2.38,A
2,14,5,18,149,44,114,44,3,2,11,5,17,112,47,105,37,3,2.8,3.4,2.5,H
4,15,3,17,153,61,144,55,3,1,11,5,20,148,54,97,29,4,2.1,3.5,3.5,D
2,11,5,16,135,60,88,30,3,3,13,5,17,131,50,139,57,2,3.1,3.4,2.3,H
0,8,5,11,112,44,97,38,5,2,12,6,17,93,42,134,46,2,3.4,3.25,2.25,A
2,26,2,10,77,29,162,67,6,3,10,4,15,145,59,137,54,3,1.75,3.75,4.75,A
2,11,5,16,114,49,106,37,3,1,26,0,5,99,26,150,71,9,17.0,9.0,1.14,H
2,12,4,15,139,47,112,40,4,0,22,3,12,138,61,131,59,7,7.0,4.5,1.45,D
5,15,1,8,146,42,123,53,4,2,12,6,19,135,38,119,45,2,3.6,3.4,2.1,A
4,19,3,16,125,46,134,61,3,1,16,6,23,133,57,134,47,3,2.3,3.5,3.0,A
2,14,5,17,117,44,148,58,3,2,28,2,9,83,35,149,68,6,15.0,7.5,1.18,H
1,10,5,19,154,55,94,26,4,3,10,3,11,134,46,103,37,4,5.5,3.75,1.67,H
2,11,5,14,113,48,101,37,3,0,10,4,10,104,37,102,43,6,3.4,3.2,2.25,D
1,28,0,5,97,28,145,68,9,2,8,6,17,138,56,86,26,2,1.2,7.0,13.0,A
1,19,3,12,133,58,133,60,6,4,17,3,15,124,48,128,60,3,2.4,3.3,3.0,A
2,9,7,19,93,45,135,45,1,2,16,3,12,123,55,119,46,5,4.75,3.6,1.8,H
3,11,4,17,143,63,142,58,3,1,15,6,22,123,55,138,51,3,1.91,3.75,3.9,H
2,13,6,19,132,39,128,51,2,4,15,3,17,156,63,144,54,3,2.6,3.4,2.7,H
5,18,0,7,149,41,115,50,5,1,26,0,4,95,27,149,70,9,19.0,7.0,1.17,D
1,16,5,21,130,55,137,51,4,1,8,6,19,164,58,89,22,3,2.3,3.4,3.1,D
1,13,3,11,102,35,101,44,6,2,13,5,17,129,44,132,53,3,3.2,3.3,2.3,H
2,7,6,16,146,60,84,24,2,2,12,5,15,113,49,94,33,3,4.2,3.25,2.0,H
4,15,3,18,156,65,150,50,3,2,8,8,21,93,47,128,43,0,3.75,3.4,2.05,A
1,29,2,8,82,38,157,68,7,1,20,3,14,124,54,137,60,6,1.95,3.6,3.8,H
2,18,2,11,116,53,119,48,6,1,12,7,19,130,36,130,54,2,3.3,3.4,2.2,H
3,18,4,17,124,51,120,56,3,2,11,5,18,142,58,137,58,3,4.33,3.6,1.85,D
2,13,4,13,112,45,98,36,4,1,26,3,10,88,43,153,67,6,9.0,5.25,1.33,D
1,16,6,16,128,33,138,58,3,3,9,4,12,128,48,111,36,3,2.3,3.4,3.1,D
2,24,0,5,93,25,162,66,8,1,13,3,9,101,32,106,41,6,1.25,6.0,13.0,D
2,9,8,21,108,53,138,45,0,6,16,0,6,158,37,108,48,4,4.75,3.5,1.8,H
1,12,5,15,132,44,129,49,4,4,15,3,18,164,68,154,52,3,3.5,3.6,2.05,H
2,7,6,15,146,60,95,26,2,2,18,2,13,119,53,123,50,6,5.25,3.8,1.67,D
1,19,3,14,125,52,136,60,6,2,15,5,21,131,54,130,49,3,1.67,4.2,4.75,H
2,8,6,21,170,62,92,21,2,4,16,3,14,131,50,110,51,3,7.5,4.0,1.5,H
2,13,3,10,108,33,111,41,5,3,5,6,14,147,54,88,19,1,3.0,3.25,2.45,A
3,15,2,12,110,45,121,43,5,3,24,0,7,97,29,170,65,7,12.0,7.5,1.2,H
3,9,4,14,134,53,139,53,3,2,8,6,19,168,58,89,23,2,1.8,3.6,4.5,H
4,8,4,13,121,44,114,37,2,1,12,5,15,132,42,127,50,4,3.7,3.3,2.1,H
6,14,0,6,152,36,108,42,4,3,14,3,12,121,45,98,38,4,3.0,3.2,2.5,H
2,24,3,11,89,44,152,64,5,1,8,9,21,109,52,139,43,0,1.53,4.2,6.0,D
4,16,2,16,153,63,154,48,4,1,17,4,14,116,49,133,60,5,6.0,4.33,1.5,A
4,17,2,13,135,50,116,52,4,2,15,5,14,123,32,130,53,3,3.8,3.6,1.95,H
2,14,3,9,100,27,112,41,5,2,14,3,13,118,46,116,41,5,4.5,3.5,1.85,D
2,25,0,6,92,27,178,66,8,3,9,5,15,125,48,115,42,2,1.2,6.5,15.0,A
2,15,5,13,112,34,131,51,3,3,22,3,13,95,47,156,64,4,5.5,4.33,1.57,D
2,10,8,22,123,56,135,42,0,3,17,3,16,139,51,114,52,4,3.75,3.3,2.1,H
0,13,5,15,130,40,124,48,5,2,11,5,21,141,55,111,38,3,3.0,3.5,2.3,A
1,15,5,16,121,54,121,53,4,3,9,4,12,123,48,142,50,3,2.6,3.4,2.7,A
2,5,7,17,148,54,84,15,1,5,15,1,8,152,42,110,43,4,6.5,3.8,1.57,H
3,15,2,11,113,39,102,42,5,4,17,2,15,143,56,158,50,4,3.2,3.4,2.25,H
3,12,3,12,107,39,109,37,4,3,14,2,10,130,43,90,40,5,3.0,3.2,2.5,H
4,18,1,14,133,54,167,53,5,2,26,0,6,83,26,182,68,8,15.0,8.0,1.17,D
4,18,1,8,148,43,119,45,5,3,13,3,9,94,27,112,38,4,2.9,3.1,2.6,H
3,9,5,14,136,54,137,46,2,0,14,5,15,127,38,128,50,5,2.75,3.3,2.6,A
4,22,2,12,97,45,152,63,4,2,5,7,19,155,54,88,17,1,1.45,4.25,8.0,A
2,9,6,17,121,51,117,43,2,2,9,8,22,128,58,124,40,0,3.75,3.3,2.1,A
2,8,6,19,159,55,84,19,2,1,16,4,15,113,50,122,51,5,13.0,5.75,1.25,H
1,12,6,24,145,56,112,41,3,2,14,5,12,116,33,119,48,3,6.0,4.33,1.53,H
3,20,0,7,84,21,144,57,7,1,16,4,15,98,48,124,49,5,3.1,3.4,2.3,A
