away-draws,away-goals,away-losses,away-opposition-goals,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-wins,odds-away,odds-draw,odds-home,result
3,5,5,15,2,2010-04-04,2,7,5,12,3,3.8,3.4,2.0,H
1,9,8,25,1,2010-04-10,2,11,6,20,2,5.0,3.6,1.73,A
5,14,2,11,3,2010-04-10,1,11,7,19,2,3.8,3.4,2.0,H
1,24,2,8,7,2010-04-11,3,10,3,10,4,1.53,4.0,6.5,D
2,9,4,11,4,2010-04-11,2,14,3,7,5,13.0,5.0,1.29,D
3,12,4,15,3,2010-04-11,3,20,2,10,5,8.5,4.5,1.4,H
4,13,2,9,4,2010-04-11,2,9,5,11,3,3.2,3.25,2.3,D
1,7,6,17,3,2010-04-13,2,27,2,11,6,19.0,8.0,1.14,H
3,19,2,10,5,2010-04-14,5,15,1,14,4,3.3,3.3,2.25,D
1,16,2,9,7,2010-04-14,2,16,2,8,6,2.25,3.3,3.25,H
2,9,6,24,2,2010-04-14,2,5,6,16,2,6.5,3.8,1.57,D
1,10,7,22,2,2010-04-17,3,11,5,19,2,5.0,3.6,1.73,D
4,21,1,11,5,2010-04-17,3,10,3,10,4,2.6,3.25,2.8,A
3,8,4,9,3,2010-04-17,3,9,3,9,4,3.75,3.25,2.1,D
2,21,2,7,6,2010-04-17,3,24,1,9,6,2.4,3.5,2.88,A
1,7,6,16,3,2010-04-17,5,10,2,9,3,3.75,3.25,2.1,A
1,11,8,25,1,2010-04-17,4,13,3,11,3,6.0,3.75,1.62,H
1,27,2,10,7,2010-04-17,2,16,2,9,6,1.91,3.6,4.0,H
6,15,1,16,3,2010-04-18,3,9,5,19,2,1.67,3.75,5.5,A
1,16,2,8,7,2010-04-18,2,4,6,15,2,1.53,4.0,6.5,H
1,11,6,17,3,2010-04-19,3,12,3,7,4,10.0,5.0,1.33,H
5,17,1,17,4,2010-04-21,1,9,7,21,2,2.1,3.4,3.5,A
3,22,2,10,5,2010-04-24,1,18,2,9,7,3.75,3.5,2.0,D
2,9,6,20,2,2010-04-24,0,9,6,17,4,6.5,4.0,1.53,D
3,14,3,11,4,2010-04-24,1,7,8,22,1,3.0,3.4,2.38,A
1,17,2,9,7,2010-04-24,2,17,2,7,6,7.0,4.2,1.5,H
1,7,6,17,3,2010-04-24,1,9,7,20,2,4.33,3.6,1.83,H
3,12,3,10,4,2010-04-24,4,7,4,9,2,3.4,3.25,2.2,D
4,11,4,17,2,2010-04-25,4,18,1,16,5,6.0,3.75,1.62,H
3,14,3,7,4,2010-04-25,1,12,8,24,1,1.62,4.0,5.5,A
4,10,3,10,3,2010-04-25,1,26,3,12,6,21.0,8.0,1.14,H
4,8,3,9,3,2010-04-25,4,22,1,12,5,10.0,4.5,1.36,H
1,10,8,23,1,2010-05-01,4,10,4,16,2,7.0,4.2,1.5,H
4,14,1,14,5,2010-05-01,3,21,2,9,5,4.33,3.6,1.83,H
5,8,3,8,2,2010-05-01,3,10,5,20,2,3.1,3.25,2.38,H
4,21,1,12,5,2010-05-01,3,9,4,16,3,2.1,3.3,3.6,D
1,11,5,16,4,2010-05-01,0,18,3,12,7,10.0,5.5,1.29,H
1,9,7,22,2,2010-05-02,3,9,4,11,3,3.1,3.25,2.38,H
