away-draws,away-goals,away-losses,away-opposition-goals,away-opposition-shots,away-opposition-shots-on-target,away-shots,away-shots-on-target,away-wins,home-draws,home-goals,home-losses,home-opposition-goals,home-opposition-shots,home-opposition-shots-on-target,home-shots,home-shots-on-target,home-wins,odds-away,odds-draw,odds-home,result
4,11,4,17,145,54,89,32,2,4,13,2,10,121,40,118,43,4,5.5,4.0,1.62,A
3,9,4,21,150,58,101,27,3,4,10,4,13,103,44,102,39,2,5.5,3.7,1.67,H
3,7,4,12,93,40,84,29,3,2,7,5,13,104,34,126,39,3,2.63,3.1,2.88,A
0,42,1,7,121,39,185,90,9,3,14,2,9,91,30,111,38,5,1.29,6.0,10.0,A
3,9,5,17,146,56,80,29,2,1,21,2,11,83,29,139,61,7,17.0,7.0,1.18,H
3,15,3,13,102,37,139,50,4,6,9,4,17,120,45,89,33,0,1.85,3.6,4.33,A
4,3,5,15,126,46,97,32,1,1,16,3,14,106,38,105,49,6,7.5,4.5,1.44,H
1,26,2,6,81,25,175,77,7,2,20,2,10,106,37,99,36,6,1.53,4.33,6.0,A
0,13,6,22,129,53,124,42,4,3,8,5,12,142,54,102,31,2,3.0,3.4,2.38,A
5,8,5,18,118,50,89,31,0,3,9,3,11,92,39,89,30,4,9.0,4.5,1.4,A
1,21,2,10,65,26,139,63,7,3,8,6,21,138,53,117,40,1,1.57,3.75,7.0,A
2,15,3,11,102,39,105,38,5,3,8,6,19,141,58,79,29,1,2.1,3.25,3.6,A
3,11,3,9,109,37,134,46,4,0,43,0,6,124,44,185,95,10,21.0,12.0,1.09,H
4,11,3,11,108,41,104,40,3,1,25,2,6,90,27,167,70,7,21.0,12.0,1.09,H
2,17,3,10,105,35,100,34,5,3,4,6,20,125,51,97,33,1,2.0,3.4,3.9,D
1,19,3,15,108,41,106,53,6,0,12,5,19,128,49,121,42,5,2.2,3.4,3.3,A
3,9,5,11,106,42,126,37,2,2,17,3,13,104,36,135,54,5,5.5,3.75,1.67,H
2,7,6,12,142,54,101,30,2,4,12,3,16,170,62,83,32,3,4.0,3.2,2.05,H
2,8,5,13,100,33,133,45,3,2,10,5,23,142,55,107,30,3,2.9,3.1,2.6,D
0,38,0,4,119,39,186,93,10,2,7,7,16,137,56,102,28,1,1.17,7.5,17.0,A
3,11,4,19,130,48,114,31,3,5,8,4,15,118,45,87,31,1,3.5,3.2,2.2,D
1,25,2,7,84,27,165,69,7,3,9,4,11,109,33,126,41,3,1.22,6.5,13.0,D
2,9,4,10,111,40,138,41,4,1,14,3,9,103,37,104,38,6,3.5,3.3,2.1,H
0,10,5,16,120,46,122,42,5,3,15,3,11,102,32,102,32,4,6.0,4.5,1.5,H
2,17,3,11,106,35,140,54,5,0,21,2,8,68,22,125,58,8,5.5,4.0,1.62,A
4,4,6,21,121,47,103,33,0,3,10,4,14,114,45,94,34,3,5.5,3.6,1.7,H
4,15,3,18,169,59,92,36,3,1,17,3,14,110,41,102,51,6,9.0,4.5,1.4,D
3,9,3,11,96,40,91,28,4,3,8,5,13,117,46,116,33,2,3.0,3.2,2.5,D
3,8,6,21,134,52,110,35,1,3,6,6,12,130,48,79,30,1,3.4,3.2,2.25,H
2,8,7,19,133,55,112,30,1,2,7,5,10,118,41,141,45,3,6.5,4.5,1.44,A
6,8,3,12,113,41,98,34,1,1,25,2,7,82,27,178,71,7,26.0,15.0,1.06,H
3,15,3,11,119,35,99,31,4,4,14,3,17,170,57,91,35,3,2.05,3.3,3.8,A
4,9,4,13,110,43,122,36,2,4,10,4,19,135,52,116,30,2,2.5,3.2,3.0,D
3,10,4,15,115,49,96,34,3,0,8,6,18,126,49,126,41,4,3.1,3.4,2.3,A
0,20,3,9,69,25,117,51,7,4,9,2,10,95,39,95,30,4,2.25,3.1,3.6,A
0,15,3,9,107,45,110,40,7,3,7,6,17,126,43,110,36,1,2.5,3.1,3.1,A
4,9,3,9,122,31,124,41,3,4,5,6,22,123,47,102,39,0,3.3,3.1,2.38,D
3,6,5,10,129,48,89,30,2,1,17,3,10,110,34,132,54,6,10.0,5.0,1.33,H
5,11,3,18,125,49,120,32,2,0,20,3,10,69,26,111,49,7,17.0,6.5,1.2,H
1,20,2,8,109,33,128,58,7,3,8,6,18,129,49,105,36,1,1.75,3.6,5.0,D
3,10,3,14,90,41,86,31,4,3,6,5,12,129,51,91,31,2,2.4,3.1,3.2,H
2,8,7,19,144,58,101,26,1,0,17,2,9,107,45,119,50,8,6.5,4.1,1.53,A
2,6,6,11,108,40,144,45,2,2,16,3,14,108,42,99,45,5,5.5,3.8,1.67,H
