away-draws,away-goals,away-losses,away-opposition-goals,away-opposition-shots,away-opposition-shots-on-target,away-shots,away-shots-on-target,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-opposition-shots,home-opposition-shots-on-target,home-shots,home-shots-on-target,home-wins,odds-away,odds-draw,odds-home,result
3,15,4,17,130,46,163,56,3,2010-03-20,3,19,0,8,131,38,143,44,7,5.0,3.4,1.75,H
3,9,6,17,132,49,125,41,1,2010-03-21,3,7,5,11,109,36,156,37,2,3.6,3.1,2.15,H
3,6,5,13,140,50,126,34,2,2010-03-21,2,12,5,17,154,50,116,37,3,4.1,3.1,2.0,D
4,8,5,15,130,43,154,45,1,2010-03-21,3,18,4,18,154,54,115,42,3,3.5,3.2,2.15,A
4,15,2,8,156,45,107,28,4,2010-03-21,2,6,5,8,124,37,100,30,3,5.0,1.8,3.0,D
5,8,3,10,133,38,157,42,2,2010-03-21,3,16,1,7,112,38,144,50,6,6.5,3.6,1.57,D
3,13,4,17,106,34,119,49,3,2010-03-21,3,13,2,8,117,31,132,46,5,2.8,3.1,2.6,H
4,16,1,12,150,47,83,31,5,2010-03-21,4,13,4,18,134,51,130,43,2,3.75,3.25,2.05,H
3,15,5,20,162,57,111,38,2,2010-03-24,3,7,5,11,105,36,151,38,2,4.4,3.3,1.85,H
3,14,1,7,121,31,135,51,6,2010-03-24,2,11,5,16,146,49,112,33,3,2.9,3.1,2.5,H
3,22,0,10,137,40,144,50,7,2010-03-24,4,14,2,12,135,40,89,31,4,1.83,3.3,4.5,A
2,13,5,15,95,42,151,55,3,2010-03-24,5,16,1,7,151,47,107,32,4,2.5,3.0,3.0,H
2,17,3,14,164,42,139,49,5,2010-03-24,3,17,3,14,128,41,115,39,4,3.75,3.2,2.05,D
3,7,7,19,128,51,126,40,0,2010-03-24,6,13,1,9,153,40,147,43,3,12.0,5.5,1.25,H
4,11,3,14,135,48,126,40,3,2010-03-24,3,9,5,14,111,37,166,48,2,5.0,3.4,1.75,H
4,13,1,8,117,42,138,49,5,2010-03-24,4,6,4,12,141,49,116,33,2,1.8,3.25,5.0,H
3,7,4,8,112,38,101,35,3,2010-03-24,2,17,5,21,134,52,169,58,3,5.75,3.3,1.7,D
3,13,4,15,110,36,121,48,3,2010-03-25,6,8,3,11,137,43,159,45,1,3.1,3.0,2.45,H
3,12,3,12,137,42,92,30,4,2010-03-27,2,19,3,16,170,44,138,52,5,6.0,3.6,1.62,H
5,14,1,7,147,37,143,43,4,2010-03-27,3,21,0,10,137,40,148,50,7,2.63,3.1,2.75,H
3,7,4,12,141,49,112,34,3,2010-03-28,4,6,4,8,130,43,106,36,2,5.0,1.83,2.88,D
3,15,4,18,129,47,183,63,3,2010-03-28,2,13,5,13,87,38,156,51,3,4.75,3.4,1.8,H
2,8,5,10,107,35,157,45,3,2010-03-28,3,14,4,17,119,40,121,48,3,6.5,3.5,1.6,H
1,12,5,16,133,45,112,35,4,2010-03-28,3,7,7,19,131,50,124,40,0,3.5,3.1,2.2,D
3,11,4,11,103,33,168,51,3,2010-03-28,4,13,1,7,112,40,129,47,5,5.5,3.5,1.67,D
4,16,1,6,154,43,106,33,5,2010-03-28,5,11,3,12,131,43,158,48,2,7.0,3.5,1.6,H
2,15,6,22,168,64,103,33,2,2010-03-28,2,14,2,8,122,32,121,48,6,5.5,3.5,1.67,D
3,18,3,15,130,45,118,37,4,2010-03-28,4,11,3,12,135,46,127,39,3,2.9,3.1,2.5,D
4,10,3,11,134,45,127,39,3,2010-04-03,2,9,5,10,113,34,159,48,3,5.25,3.6,1.67,H
3,21,0,10,141,40,153,51,7,2010-04-03,2,12,4,15,131,43,115,39,4,1.67,3.8,5.0,A
4,13,1,7,115,40,125,44,5,2010-04-03,2,14,6,21,169,59,102,33,2,1.8,3.6,4.33,A
2,19,3,17,170,43,135,48,5,2010-04-03,4,13,2,7,165,46,93,30,4,3.5,2.0,3.2,H
3,12,2,7,120,32,120,42,5,2010-04-03,4,5,4,7,127,42,107,36,2,2.5,3.0,3.0,A
4,8,6,18,131,53,113,38,0,2010-04-03,4,16,3,15,134,46,124,38,3,6.5,4.0,1.5,D
3,11,4,14,140,43,98,30,3,2010-04-03,5,13,2,9,145,37,143,40,3,11.0,5.0,1.29,H
5,10,3,12,115,40,165,49,2,2010-04-03,3,11,4,11,106,34,169,52,3,3.2,3.0,2.4,D
1,15,5,12,91,40,164,53,4,2010-04-03,4,7,3,9,134,47,114,35,3,2.35,3.1,3.2,D
3,15,3,16,120,43,124,48,4,2010-04-03,2,15,5,21,138,52,186,63,3,2.8,3.1,2.63,H
5,13,2,9,138,34,157,43,3,2010-04-10,2,16,4,12,93,43,153,50,4,2.1,3.2,3.6,D
5,7,2,8,129,47,120,38,3,2010-04-10,5,11,3,13,121,44,162,51,2,7.0,3.75,1.53,A
3,11,4,11,102,33,172,55,3,2010-04-11,2,10,5,16,152,51,100,28,3,4.5,1.62,4.5,A
2,16,6,21,167,55,101,35,2,2010-04-11,2,14,4,18,123,50,124,47,4,7.0,4.0,1.5,H
2,15,5,20,139,52,175,61,3,2010-04-11,4,8,6,18,121,49,118,36,0,2.4,3.1,3.1,A
3,14,2,6,176,47,97,31,5,2010-04-11,3,16,1,9,129,45,116,43,6,9.0,4.5,1.36,D
3,5,5,8,128,45,109,38,2,2010-04-11,2,17,3,15,174,42,138,48,5,8.0,4.0,1.44,H
2,11,4,8,110,28,163,49,4,2010-04-11,3,20,0,9,142,39,152,45,7,9.5,4.5,1.33,H
4,17,3,16,133,45,124,40,3,2010-04-11,3,12,2,8,122,33,115,41,5,3.5,3.2,2.2,H
2,8,5,14,128,39,111,35,3,2010-04-11,4,9,3,11,135,41,131,37,3,3.5,3.3,2.1,H
1,14,4,17,119,46,136,49,5,2010-04-16,5,14,2,10,135,35,160,39,3,6.0,3.6,1.62,H
3,7,7,19,125,51,122,36,0,2010-04-17,3,6,5,10,134,53,111,40,2,8.0,4.5,1.4,H
3,18,3,12,100,42,153,53,4,2010-04-18,2,11,5,10,115,27,145,44,3,3.0,3.3,2.35,H
5,12,3,13,109,39,161,54,2,2010-04-18,2,10,5,16,119,44,109,36,3,2.4,3.1,3.0,A
2,18,3,15,182,44,142,53,5,2010-04-18,2,13,7,21,167,58,102,32,1,2.25,3.2,3.25,D
4,11,2,11,135,42,133,44,4,2010-04-18,4,15,2,8,162,48,98,31,4,4.6,3.6,1.75,D
3,21,0,10,132,33,155,45,7,2010-04-18,3,14,3,12,103,34,165,59,4,1.95,3.3,4.0,A
