away-draws,away-goals,away-losses,away-opposition-goals,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-wins,odds-away,odds-draw,odds-home,result
3,24,1,14,6,2010-03-20,0,21,4,16,6,2.9,3.25,2.4,H
2,24,0,9,8,2010-03-20,3,13,4,16,3,1.4,4.5,8.0,H
2,8,4,11,4,2010-03-20,2,5,8,17,0,2.88,3.3,2.4,H
1,8,7,17,2,2010-03-20,3,12,4,14,3,2.75,3.3,2.55,D
0,10,8,24,2,2010-03-20,1,24,2,13,7,7.0,4.33,1.44,H
5,12,2,15,3,2010-03-20,2,20,4,17,4,9.0,5.0,1.33,H
2,17,1,7,7,2010-03-21,3,14,3,12,4,3.1,3.3,2.3,D
3,11,5,13,2,2010-03-21,2,19,4,16,4,6.5,4.0,1.5,A
2,13,4,15,4,2010-03-26,5,11,3,16,2,3.0,3.25,2.38,A
1,23,2,12,7,2010-03-27,2,20,1,9,7,5.5,3.75,1.62,A
4,13,4,19,2,2010-03-27,0,8,8,23,2,3.1,3.25,2.3,A
0,23,4,16,6,2010-03-27,3,14,4,9,3,2.2,3.3,3.25,D
3,18,1,9,6,2010-03-27,3,21,2,15,5,3.2,3.4,2.2,A
1,18,5,19,4,2010-03-27,2,8,4,11,4,2.5,3.3,2.75,A
4,12,3,11,3,2010-03-27,2,22,3,17,5,8.0,4.5,1.4,H
2,6,7,16,1,2010-03-28,2,7,6,14,2,5.5,3.75,1.62,D
4,14,3,13,3,2010-03-28,4,11,4,18,2,2.3,3.25,3.1,H
2,26,2,18,6,2010-04-03,1,20,4,14,5,2.8,3.4,2.4,H
3,17,3,15,4,2010-04-03,2,14,4,16,4,2.25,3.25,3.2,H
4,11,4,9,2,2010-04-03,4,15,3,17,3,3.0,3.25,2.38,A
5,10,4,17,1,2010-04-03,3,7,6,15,1,3.4,3.2,2.2,D
2,6,4,9,4,2010-04-03,4,14,3,14,3,3.75,3.4,2.0,H
2,19,2,11,6,2010-04-03,3,19,1,9,6,2.55,3.4,2.7,A
4,11,3,16,3,2010-04-03,1,22,2,12,7,8.0,4.5,1.4,H
0,9,8,24,2,2010-04-04,4,12,4,14,2,7.0,4.33,1.44,D
3,8,5,13,2,2010-04-04,1,19,4,16,5,4.2,3.5,1.85,H
1,16,4,17,5,2010-04-09,3,12,4,18,3,3.0,3.25,2.38,H
2,18,2,9,6,2010-04-10,1,9,7,23,2,1.73,3.5,5.0,H
1,23,2,13,7,2010-04-10,3,14,4,9,3,2.4,3.3,2.9,A
4,12,4,18,2,2010-04-10,3,8,5,14,2,4.33,3.5,1.83,A
2,18,2,10,6,2010-04-10,3,16,4,18,3,2.2,3.4,3.2,D
1,21,4,15,5,2010-04-10,2,5,5,11,3,1.91,3.6,4.0,H
4,8,5,15,1,2010-04-10,2,25,2,17,6,10.0,4.75,1.33,H
5,12,3,13,2,2010-04-11,5,9,4,16,1,2.2,3.3,3.25,A
1,21,3,13,6,2010-04-11,3,15,3,13,4,2.4,3.3,2.9,A
4,10,5,18,1,2010-04-16,4,12,4,17,2,3.5,3.3,2.1,H
1,12,6,22,3,2010-04-17,3,16,2,11,5,12.0,6.0,1.22,H
3,12,4,14,3,2010-04-17,4,7,5,16,1,3.0,3.25,2.38,H
2,6,4,8,4,2010-04-17,4,13,3,13,3,7.5,4.2,1.44,A
3,10,4,15,3,2010-04-17,2,18,3,13,5,9.0,4.5,1.36,H
4,14,4,18,2,2010-04-17,1,20,2,12,7,3.2,3.4,2.2,H
2,26,1,13,7,2010-04-17,0,22,3,12,7,2.5,3.4,2.7,A
3,8,5,14,2,2010-04-18,1,20,4,12,5,6.0,3.8,1.57,D
2,14,5,10,3,2010-04-18,1,15,4,17,5,3.0,3.4,2.3,D
1,20,2,12,7,2010-04-23,3,9,6,19,1,1.83,3.75,4.0,A
1,21,3,14,6,2010-04-24,3,15,4,10,3,1.91,3.6,3.75,A
1,11,6,27,3,2010-04-24,3,14,5,19,2,10.0,5.25,1.29,H
2,14,4,17,4,2010-04-24,2,6,4,8,4,3.25,3.2,2.25,D
3,20,2,10,5,2010-04-24,3,11,4,17,3,1.5,4.33,6.0,D
2,19,3,10,5,2010-04-24,3,12,4,14,3,2.2,3.3,3.25,A
3,11,4,14,3,2010-04-24,2,28,1,14,7,11.0,5.0,1.29,H
0,23,3,13,7,2010-04-25,3,9,5,17,2,2.25,3.4,3.1,H
3,10,4,11,3,2010-04-25,4,7,5,14,1,2.5,3.25,2.8,H
3,7,7,20,0,2010-05-01,4,18,2,10,4,17.0,8.0,1.13,H
0,22,3,12,7,2010-05-01,2,21,2,9,6,5.5,3.8,1.6,D
4,11,4,13,2,2010-05-01,3,15,4,19,3,3.0,3.3,2.35,A
3,9,4,15,3,2010-05-01,3,11,4,13,3,2.88,3.3,2.4,D
3,13,4,15,3,2010-05-01,3,8,5,15,2,3.6,3.6,2.0,H
4,10,4,17,2,2010-05-01,1,10,6,25,3,4.2,3.6,1.83,H
2,14,5,10,3,2010-05-01,3,15,5,18,2,9.0,5.0,1.33,D
2,24,1,13,7,2010-05-01,1,20,3,14,6,3.2,3.4,2.15,A
2,8,4,10,4,2010-05-01,1,21,1,9,8,9.0,5.0,1.33,D
1,15,5,22,4,2010-05-08,2,8,8,23,0,2.8,3.6,2.3,A
3,18,2,9,5,2010-05-08,4,11,3,14,3,1.91,3.6,3.75,H
3,20,2,10,5,2010-05-08,3,12,5,11,2,1.8,3.75,4.2,A
2,18,1,10,7,2010-05-08,3,11,4,12,3,2.3,3.5,2.9,D
1,19,3,14,6,2010-05-08,2,10,4,12,4,2.38,3.4,2.88,D
3,14,5,17,2,2010-05-08,3,9,5,21,2,1.73,4.0,4.33,D
4,12,3,10,3,2010-05-08,2,12,5,18,3,5.5,4.33,1.53,H
2,12,5,15,3,2010-05-08,1,24,1,11,8,5.25,4.0,1.62,D
2,16,5,21,3,2010-05-08,1,21,3,12,6,4.2,4.0,1.73,H
1,23,3,13,6,2010-08-20,3,22,2,11,5,5.5,4.0,1.57,H
2,17,3,13,5,2010-08-21,3,13,4,15,3,2.88,3.4,2.38,H
2,16,5,22,3,2010-08-21,1,18,4,21,5,2.7,3.25,2.6,H
2,23,1,11,7,2010-08-21,4,10,4,13,2,2.38,3.4,2.88,H
1,13,5,18,4,2010-08-21,3,9,5,21,2,4.0,3.4,1.91,D
3,15,5,18,2,2010-08-22,3,18,2,10,5,2.88,3.4,2.38,A
3,17,1,10,6,2010-08-22,3,9,3,10,4,2.25,3.4,3.1,H
3,14,4,16,3,2010-08-28,2,16,5,20,3,2.2,3.5,3.1,A
3,13,3,15,4,2010-08-28,2,11,5,17,3,4.0,3.4,1.91,A
1,18,4,21,5,2010-08-28,2,14,4,14,4,10.0,4.75,1.33,A
2,12,5,13,3,2010-08-28,1,22,2,13,7,7.0,4.75,1.4,H
3,10,3,10,4,2010-08-28,1,20,4,14,5,5.5,4.0,1.57,A
4,10,4,19,2,2010-08-29,3,15,4,15,3,8.0,4.75,1.36,A
3,15,3,12,4,2010-08-29,2,15,2,10,6,3.25,3.3,2.2,A
2,13,5,15,3,2010-09-10,4,15,2,12,4,2.88,3.3,2.4,H
1,25,2,15,7,2010-09-11,2,21,3,12,5,5.5,4.0,1.57,D
1,19,5,18,4,2010-09-11,3,14,3,12,4,3.25,3.5,2.1,H
2,15,2,11,6,2010-09-11,3,14,2,14,5,2.1,3.4,3.4,H
2,10,6,18,2,2010-09-11,3,15,3,13,4,8.5,4.75,1.36,D
3,14,5,19,2,2010-09-11,1,18,4,21,5,2.0,3.4,3.75,D
2,16,5,21,3,2010-09-11,4,16,3,18,3,3.4,3.4,2.1,A
3,15,2,15,5,2010-09-17,2,18,5,20,3,4.5,3.5,1.8,A
1,14,5,15,4,2010-09-18,3,20,2,10,5,12.0,6.0,1.22,D
3,15,4,21,3,2010-09-18,2,14,3,13,5,4.5,3.5,1.8,H
3,15,2,13,5,2010-09-18,2,22,2,13,6,7.0,4.33,1.44,A
2,20,3,21,5,2010-09-18,1,18,5,15,4,6.0,4.0,1.53,H
2,11,6,19,2,2010-09-19,4,16,4,18,2,7.0,4.33,1.44,D
3,13,3,12,4,2010-09-19,1,11,6,15,3,3.2,3.3,2.25,A
2,18,3,13,5,2010-09-21,2,19,3,19,5,2.0,3.5,3.6,H
4,19,1,8,5,2010-09-21,3,18,2,13,5,2.0,3.5,3.6,A
2,10,5,14,3,2010-09-21,3,17,1,11,6,4.0,3.4,1.91,H
1,10,7,18,2,2010-09-22,2,15,2,14,6,2.25,3.3,3.1,A
1,18,5,15,4,2010-09-22,4,15,2,12,4,3.9,3.5,1.91,A
2,16,6,20,2,2010-09-22,5,16,3,16,2,5.25,3.6,1.67,H
2,19,3,12,5,2010-09-22,3,9,5,15,2,2.3,3.3,3.1,H
3,19,2,11,5,2010-09-24,2,10,5,13,3,2.2,3.3,3.25,D
3,19,0,9,7,2010-09-25,4,19,1,8,5,7.0,4.33,1.44,A
3,9,5,16,2,2010-09-25,2,14,7,20,1,3.75,3.4,2.0,H
3,14,5,28,2,2010-09-25,1,11,6,17,3,6.5,3.8,1.53,D
5,16,2,14,3,2010-09-25,2,18,4,13,4,2.9,3.3,2.4,A
3,16,3,15,4,2010-09-25,2,18,3,15,5,2.9,3.3,2.4,H
1,15,3,15,6,2010-09-26,1,17,5,16,4,7.0,4.33,1.44,H
3,9,5,14,2,2010-10-02,1,16,3,13,6,3.2,3.3,2.25,H
4,20,1,10,5,2010-10-02,3,20,0,10,7,3.3,3.3,2.2,H
1,17,5,17,4,2010-10-02,4,14,5,30,1,2.05,3.4,3.5,D
2,11,5,15,3,2010-10-02,3,9,5,16,2,2.3,3.4,3.0,H
3,19,2,9,5,2010-10-03,2,22,2,12,6,2.7,3.3,2.55,H
2,17,3,17,5,2010-10-03,4,19,2,14,4,3.4,3.4,2.1,D
2,16,6,18,2,2010-10-03,2,18,5,17,3,3.9,3.5,1.91,A
1,23,2,11,7,2010-10-15,3,9,6,17,1,1.8,3.6,4.33,A
1,20,3,12,6,2010-10-16,3,12,3,11,4,7.5,4.5,1.4,H
3,18,3,17,4,2010-10-16,3,23,0,12,7,3.1,3.4,2.25,A
2,17,6,18,2,2010-10-16,2,9,6,16,2,3.75,3.4,2.0,D
1,17,3,14,6,2010-10-16,3,15,3,17,4,5.5,4.33,1.53,H
5,20,1,14,4,2010-10-16,2,16,4,14,4,3.0,3.4,2.3,A
5,14,4,28,1,2010-10-17,3,21,2,13,5,5.25,3.75,1.65,H
2,14,3,10,5,2010-10-22,3,18,2,12,5,2.63,3.3,2.63,D
3,10,6,18,1,2010-10-23,0,16,6,14,4,2.5,3.25,2.8,D
3,10,6,18,1,2010-10-23,1,20,3,12,6,3.5,3.25,2.1,H
3,16,3,18,4,2010-10-23,4,15,5,30,1,2.1,3.5,3.3,A
2,18,4,16,4,2010-10-23,3,10,4,15,3,2.38,3.3,2.9,H
3,19,2,14,5,2010-10-24,1,22,2,10,7,4.6,3.6,1.75,D
2,20,1,10,7,2010-10-24,5,20,1,16,4,4.2,3.75,1.8,A
0,17,4,15,6,2010-10-29,3,11,3,9,4,11.0,5.0,1.29,H
4,14,2,12,4,2010-10-30,2,9,7,18,1,2.0,3.4,3.7,H
4,19,2,16,4,2010-10-30,4,10,5,16,1,2.75,3.3,2.5,A
3,12,3,12,4,2010-10-30,3,18,3,19,4,6.0,4.33,1.5,A
2,17,6,18,2,2010-10-30,1,18,5,17,4,3.4,3.4,2.1,H
1,16,3,12,6,2010-10-31,4,18,2,14,4,5.5,3.7,1.62,H
1,22,2,10,7,2010-10-31,1,19,1,8,8,2.5,3.3,2.75,A
1,12,5,15,4,2010-11-05,3,10,6,17,1,5.0,3.6,1.7,H
1,17,5,16,4,2010-11-06,1,17,4,10,5,2.88,3.4,2.38,H
0,19,2,10,8,2010-11-06,0,16,5,18,5,2.4,3.3,2.9,H
3,21,2,13,5,2010-11-06,3,15,3,14,4,3.2,3.25,2.25,H
3,12,3,10,4,2010-11-06,3,14,6,30,1,1.57,4.0,5.5,D
2,12,6,19,2,2010-11-06,3,14,3,14,4,3.75,3.4,2.0,H
1,23,1,7,8,2010-11-07,1,13,4,16,5,1.8,3.6,4.33,A
1,13,6,18,3,2010-11-07,3,19,2,15,5,6.5,4.5,1.44,H
2,19,4,21,4,2010-11-07,1,16,7,19,2,2.75,3.3,2.5,H
3,15,3,14,4,2010-11-12,1,27,0,5,9,4.5,3.75,1.73,H
3,16,6,32,1,2010-11-13,2,12,6,19,2,3.3,3.5,2.1,A
1,22,6,17,3,2010-11-13,1,11,7,20,2,2.3,3.4,3.0,D
1,11,5,19,4,2010-11-13,0,17,3,11,7,5.0,3.5,1.73,A
3,20,2,16,5,2010-11-13,1,9,6,17,3,2.1,3.4,3.4,A
1,19,3,9,6,2010-11-13,2,18,4,23,4,3.75,3.6,1.91,D
3,12,5,15,2,2010-11-13,1,17,5,17,4,3.0,3.5,2.25,D
