away-draws,away-goals,away-losses,away-opposition-goals,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-wins,odds-away,odds-draw,odds-home,result
1,8,8,18,1,2010-02-27,3,8,4,12,3,5.0,3.5,1.73,A
3,10,3,6,4,2010-02-27,4,11,3,8,3,4.0,3.2,2.0,H
2,7,5,13,3,2010-02-27,3,11,4,15,3,3.5,3.0,2.25,H
4,7,2,9,4,2010-02-28,1,26,1,6,8,6.0,3.6,1.62,A
2,17,2,10,6,2010-02-28,2,11,5,11,3,2.63,3.0,2.88,A
3,11,3,13,4,2010-03-06,4,8,1,7,5,4.5,3.1,1.91,H
2,18,1,5,7,2010-03-06,4,4,6,15,0,1.44,4.2,7.5,D
2,8,6,14,2,2010-03-06,3,8,4,7,3,3.3,3.1,2.3,D
3,7,4,12,3,2010-03-06,3,8,6,15,1,3.4,3.1,2.25,A
2,14,3,12,5,2010-03-06,2,12,5,12,3,4.6,3.2,1.85,H
4,10,3,8,3,2010-03-06,4,7,3,10,3,3.2,3.1,2.35,H
1,23,2,8,7,2010-03-06,2,7,5,10,3,2.25,3.1,3.4,D
0,12,3,9,7,2010-03-07,2,18,1,9,7,6.5,3.6,1.57,D
2,10,5,16,3,2010-03-07,1,10,7,17,2,3.0,3.0,2.5,D
1,14,5,14,4,2010-03-07,2,18,2,10,6,7.5,4.2,1.44,D
3,9,1,7,6,2010-03-10,3,18,1,10,6,7.5,3.7,1.5,A
3,10,6,16,1,2010-03-13,3,9,5,16,2,3.6,3.0,2.2,A
3,8,4,7,3,2010-03-13,2,14,4,13,4,4.0,3.2,2.0,H
3,8,4,8,3,2010-03-13,3,16,1,5,6,10.0,4.33,1.36,D
3,18,2,12,5,2010-03-13,1,13,4,12,5,2.25,3.0,3.5,D
2,11,1,8,7,2010-03-13,1,13,2,8,7,4.2,3.1,2.0,D
5,4,5,13,0,2010-03-13,3,8,4,14,3,5.5,3.5,1.67,A
4,7,3,10,3,2010-03-13,2,8,6,14,2,5.25,3.3,1.75,H
2,11,6,17,2,2010-03-14,2,20,2,9,6,12.0,4.75,1.3,H
3,17,2,10,5,2010-03-14,4,10,3,8,3,2.15,3.1,3.6,D
2,13,4,11,4,2010-03-14,2,11,4,14,4,3.25,3.0,2.38,A
3,8,6,17,1,2010-03-20,2,11,1,8,7,6.5,3.6,1.57,H
2,14,3,9,5,2010-03-20,4,5,5,12,1,2.45,3.0,3.1,H
1,12,4,11,5,2010-03-20,1,10,7,17,2,2.63,3.1,2.75,D
4,6,4,14,2,2010-03-20,2,8,5,8,3,4.0,3.2,2.0,D
2,12,5,14,3,2010-03-20,2,10,6,15,2,2.9,3.1,2.5,H
4,10,3,8,3,2010-03-20,2,14,4,11,4,4.5,3.25,1.91,H
3,7,5,17,2,2010-03-20,3,9,4,9,3,3.8,3.1,2.05,D
2,18,2,9,6,2010-03-21,4,17,2,12,4,4.33,3.3,1.85,H
3,16,1,5,6,2010-03-21,3,18,2,11,5,3.1,3.1,2.38,H
1,11,5,16,4,2010-03-21,2,12,2,8,6,4.6,3.25,1.85,H
2,10,6,13,2,2010-03-26,3,16,1,5,6,12.0,5.0,1.29,H
2,18,3,10,5,2010-03-28,3,9,6,16,1,2.5,3.0,3.0,A
2,14,1,5,7,2010-03-28,2,15,3,12,5,4.75,3.4,1.8,H
4,9,3,8,3,2010-03-28,2,11,4,9,4,4.0,3.1,2.05,H
3,7,5,8,2,2010-03-28,4,7,4,13,2,3.3,3.1,2.3,H
3,7,5,12,2,2010-03-28,2,8,6,15,2,9.0,4.2,1.4,H
1,9,6,13,3,2010-03-28,4,10,3,10,3,4.75,3.3,1.83,A
2,11,1,9,7,2010-03-29,2,8,4,11,4,3.2,3.0,2.4,D
4,12,3,12,3,2010-04-03,4,16,2,12,4,7.0,4.2,1.45,A
2,12,4,9,4,2010-04-03,2,9,6,13,2,2.63,3.0,2.88,A
3,6,4,11,3,2010-04-03,2,14,2,9,6,4.75,3.3,1.8,D
4,6,4,14,2,2010-04-03,1,11,5,12,4,3.9,3.1,2.05,D
3,16,1,5,6,2010-04-03,1,20,3,10,6,2.75,3.1,2.65,A
2,9,7,18,1,2010-04-03,4,7,4,11,2,4.75,3.3,1.8,H
2,16,3,12,5,2010-04-03,1,10,5,15,4,2.1,3.2,3.6,H
2,10,5,12,3,2010-04-04,2,11,1,9,7,3.6,3.0,2.2,D
4,7,4,11,2,2010-04-04,2,7,6,15,2,2.6,3.0,2.9,D
2,7,6,12,2,2010-04-04,3,20,1,10,6,9.0,4.6,1.36,H
5,6,3,12,2,2010-04-07,2,20,1,9,7,9.0,4.5,1.36,H
3,13,2,9,5,2010-04-10,2,9,7,17,1,2.2,3.1,3.5,D
3,8,5,14,2,2010-04-10,2,7,6,12,2,5.5,3.4,1.7,H
0,21,4,12,6,2010-04-10,2,13,3,7,5,3.0,3.0,2.5,D
1,10,4,12,5,2010-04-10,4,5,4,11,2,3.8,3.1,2.1,H
4,15,3,13,3,2010-04-10,3,11,4,12,3,2.4,3.1,3.1,H
3,9,4,11,3,2010-04-10,5,4,4,14,1,3.6,3.0,2.2,A
2,9,6,12,2,2010-04-10,4,8,4,12,2,6.5,3.6,1.57,H
2,15,3,11,5,2010-04-11,3,15,1,5,6,4.5,3.4,1.83,D
2,11,4,11,4,2010-04-11,2,21,1,8,7,12.0,5.0,1.3,H
3,11,1,10,6,2010-04-11,3,14,3,13,4,2.75,3.0,2.75,A
3,15,4,15,3,2010-04-14,3,10,6,17,1,1.55,3.8,6.5,H
2,25,0,7,8,2010-04-14,4,3,5,15,1,1.67,3.6,5.25,A
3,14,2,7,5,2010-04-17,3,11,1,10,6,4.2,3.3,1.91,H
4,14,1,5,5,2010-04-17,3,13,5,16,2,3.5,3.2,2.15,D
2,21,0,6,8,2010-04-17,2,8,6,17,2,1.5,4.0,6.5,A
3,2,6,15,1,2010-04-17,2,9,6,12,2,2.75,3.0,2.7,D
2,10,5,11,3,2010-04-17,2,10,4,12,4,4.0,3.2,2.0,D
3,13,4,14,3,2010-04-17,1,18,4,13,5,5.5,3.5,1.67,D
3,11,5,15,2,2010-04-17,1,9,5,14,4,5.5,3.5,1.67,A
4,4,4,10,2,2010-04-18,3,15,3,12,4,7.5,4.2,1.44,H
4,9,4,11,2,2010-04-18,4,13,2,11,4,5.25,3.4,1.73,D
3,13,3,11,4,2010-04-18,3,11,3,10,4,3.0,3.1,2.45,D
2,18,3,11,5,2010-04-24,3,11,4,13,3,1.67,3.5,5.5,A
3,15,5,18,2,2010-04-24,3,12,3,11,4,2.05,3.25,3.75,H
5,12,2,12,3,2010-04-24,3,12,4,13,3,2.5,3.0,3.0,D
3,6,6,14,1,2010-04-24,2,9,4,11,4,6.5,3.6,1.57,H
2,14,4,11,4,2010-04-24,4,13,2,8,4,3.4,3.1,2.25,D
2,9,6,17,2,2010-04-24,3,4,6,17,1,5.25,3.4,1.73,A
0,8,6,14,4,2010-04-25,3,8,5,10,2,4.2,3.1,2.0,D
4,8,3,10,3,2010-04-25,2,21,0,6,8,13.0,5.25,1.25,H
3,15,0,6,7,2010-04-25,4,10,4,12,2,2.9,2.9,2.7,A
4,14,2,9,4,2010-04-27,3,7,6,15,1,2.4,3.2,3.0,H
2,12,5,15,3,2010-04-27,4,4,4,11,2,4.0,3.3,1.95,D
3,13,5,15,2,2010-04-28,1,8,5,10,4,2.05,3.2,3.75,H
2,19,0,5,8,2010-04-30,3,17,0,6,7,2.38,3.1,3.2,D
