away-draws,away-goals,away-losses,away-opposition-goals,away-opposition-shots,away-opposition-shots-on-target,away-shots,away-shots-on-target,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-opposition-shots,home-opposition-shots-on-target,home-shots,home-shots-on-target,home-wins,odds-away,odds-draw,odds-home,result
3,16,1,8,105,35,130,50,6,2010-01-23,2,11,5,19,167,68,88,36,3,1.91,3.4,4.0,D
5,16,2,11,120,45,121,53,3,2010-01-23,3,19,0,6,114,31,144,67,7,2.88,3.3,2.4,H
2,16,4,15,153,46,144,48,4,2010-01-23,3,9,6,19,142,59,114,41,1,4.0,3.4,1.91,D
2,10,6,20,130,60,120,42,2,2010-01-23,4,11,4,13,161,54,109,36,2,3.7,3.4,2.0,H
2,15,3,14,133,49,120,43,5,2010-01-23,1,8,7,21,135,56,119,37,2,3.3,3.3,2.15,D
3,23,0,8,100,42,140,63,7,2010-01-23,4,18,3,11,95,45,163,63,3,2.3,3.3,3.1,A
6,21,0,10,83,30,154,57,4,2010-01-24,2,12,5,12,114,43,138,42,3,2.4,3.3,2.9,A
4,7,3,8,133,36,91,32,3,2010-01-24,5,17,3,20,160,55,156,50,2,6.5,4.0,1.5,A
5,17,4,22,153,57,157,52,1,2010-01-29,4,16,3,12,128,45,126,56,3,4.33,3.5,1.83,D
4,12,3,12,164,52,110,40,3,2010-01-30,3,24,0,9,104,47,143,65,7,15.0,6.5,1.2,H
4,9,3,10,144,42,89,34,3,2010-01-30,3,14,3,14,134,49,109,39,4,3.75,3.4,2.0,A
2,6,7,22,131,54,113,34,1,2010-01-30,2,9,6,19,123,59,124,39,2,3.5,3.3,2.1,A
3,13,4,19,162,64,94,38,3,2010-01-30,4,9,5,16,133,56,122,42,1,4.0,3.4,1.91,D
4,18,4,14,104,48,160,64,2,2010-01-30,3,15,3,13,152,46,136,49,4,1.91,3.6,3.75,H
2,12,5,13,107,41,141,38,3,2010-01-30,4,16,1,9,103,33,133,51,5,5.5,3.6,1.67,H
2,5,6,17,162,62,107,33,2,2010-01-31,5,24,0,10,86,31,155,58,5,11.0,5.75,1.25,H
3,18,0,6,119,31,143,61,7,2010-01-31,5,10,2,10,107,30,154,54,3,3.2,3.3,2.1,H
4,9,5,16,138,58,119,41,1,2010-02-05,4,17,5,17,100,52,160,58,1,7.0,4.33,1.44,H
4,26,0,10,87,33,155,63,6,2010-02-06,4,12,3,15,162,59,97,40,3,1.62,3.75,5.5,D
4,14,3,10,118,37,138,60,3,2010-02-06,3,11,3,11,140,43,93,35,4,2.1,3.3,3.5,D
3,15,1,6,103,28,122,43,6,2010-02-06,2,6,6,17,167,66,95,33,2,1.75,3.5,4.75,D
2,9,7,22,117,55,128,42,1,2010-02-06,2,9,6,15,112,43,138,34,2,6.0,3.8,1.57,H
5,14,1,10,113,33,150,51,4,2010-02-06,2,9,6,20,128,54,118,37,2,2.1,3.4,3.5,A
3,25,0,8,103,47,148,68,7,2010-02-06,5,18,4,23,156,60,154,52,1,1.73,3.75,4.5,A
