away-draws,away-goals,away-losses,away-opposition-goals,away-opposition-shots,away-opposition-shots-on-target,away-shots,away-shots-on-target,away-wins,home-draws,home-goals,home-losses,home-opposition-goals,home-opposition-shots,home-opposition-shots-on-target,home-shots,home-shots-on-target,home-wins,odds-away,odds-draw,odds-home,result
3,19,3,16,105,65,111,62,4,2,8,6,18,108,63,89,49,2,2.88,3.2,2.5,A
4,5,6,14,138,67,89,45,0,4,4,5,11,96,48,99,45,1,3.2,3.2,2.3,H
2,9,4,11,110,54,73,32,4,4,11,0,2,106,67,100,61,6,3.4,3.4,2.1,H
3,12,5,16,102,62,102,59,2,3,20,3,17,109,68,114,66,4,3.1,3.3,2.3,H
2,19,2,12,102,53,117,60,6,3,12,5,16,116,73,101,61,2,2.5,3.3,2.75,D
3,18,3,16,110,69,119,72,4,2,16,3,10,64,36,139,83,5,12.0,5.5,1.25,H
1,8,7,19,101,63,93,51,2,4,5,4,10,93,46,97,44,2,3.5,3.3,2.1,D
2,14,4,16,100,56,86,48,4,1,9,5,13,114,58,70,31,4,2.8,3.25,2.5,H
2,9,6,17,95,61,88,48,2,3,17,3,15,94,57,120,72,4,4.0,3.4,1.8,D
5,6,3,7,82,40,93,43,2,3,10,4,12,92,44,71,39,3,3.2,3.25,2.1,A
1,18,3,9,62,34,135,82,6,4,5,6,14,137,67,96,48,0,1.33,5.0,7.0,H
4,9,5,12,132,69,98,52,1,4,13,5,18,127,77,96,57,1,4.0,3.4,1.91,H
3,11,4,13,89,43,73,40,3,1,14,4,12,68,39,115,71,5,15.0,7.0,1.17,H
4,12,0,3,104,66,96,64,6,3,20,2,14,104,52,127,62,5,3.8,3.3,2.0,H
2,15,4,17,107,60,89,49,4,2,10,6,18,93,56,91,49,2,2.38,3.25,3.0,A
3,15,3,13,94,54,118,70,4,4,8,3,8,82,40,93,44,3,3.0,3.2,2.4,H
3,18,0,4,97,57,144,87,7,1,10,5,14,125,61,80,37,4,1.57,3.75,6.0,A
2,21,0,4,89,54,148,91,8,3,14,4,14,97,55,106,63,3,1.4,4.5,8.0,H
3,22,2,14,101,51,119,59,5,2,13,4,17,111,59,86,45,4,3.0,3.3,2.38,A
2,11,6,18,91,54,99,48,2,3,12,1,6,98,64,95,59,6,5.0,3.75,1.67,A
4,9,2,7,72,36,96,45,4,2,21,1,8,94,58,144,91,7,17.0,7.5,1.14,H
0,10,6,17,113,57,82,39,4,4,10,5,12,126,63,97,54,1,2.5,3.3,2.75,D
1,16,3,11,63,36,121,75,6,2,13,5,20,100,53,86,43,3,1.67,3.75,5.0,A
4,12,5,19,128,80,98,60,1,2,12,5,16,101,51,68,37,3,2.63,3.3,2.6,H
3,22,2,15,98,46,110,54,5,2,17,4,14,93,53,105,67,4,2.5,3.25,2.8,A
4,12,5,18,125,75,89,49,1,1,21,1,7,94,56,142,87,8,15.0,7.0,1.17,H
5,10,4,11,120,58,101,56,1,2,11,6,18,95,59,96,46,2,3.0,3.25,2.38,H
2,11,6,20,108,58,84,40,2,4,9,2,7,81,37,94,41,4,2.5,3.25,2.8,H
1,10,5,12,95,46,68,35,4,1,11,5,15,107,54,78,37,4,4.5,3.5,1.8,H
2,15,4,12,87,52,107,66,4,4,13,5,20,121,72,86,48,1,3.0,3.25,2.38,A
3,9,2,7,89,55,91,56,5,1,16,3,11,68,39,118,75,6,9.0,5.0,1.33,H
1,22,1,8,88,53,128,75,8,2,20,2,12,99,46,100,48,6,1.91,3.4,4.0,D
2,13,5,18,93,56,99,50,3,3,12,6,21,113,70,85,48,1,3.7,3.4,2.0,H
1,10,7,22,104,58,78,38,2,1,18,2,11,73,43,127,81,7,8.5,4.33,1.4,H
1,9,6,13,102,49,73,37,3,4,11,2,8,80,37,87,41,4,3.4,3.4,2.1,H
4,10,5,12,114,58,95,52,1,2,13,4,12,92,54,98,60,4,4.0,3.4,1.91,D
2,16,2,8,102,45,93,43,6,3,9,3,9,94,57,89,55,4,2.63,3.25,2.63,A
1,12,4,14,99,48,87,41,5,2,19,1,8,86,48,129,74,7,10.0,5.0,1.3,H
3,14,2,8,76,38,83,40,5,2,11,5,16,91,55,96,50,3,3.0,3.25,2.38,A
2,10,4,11,91,56,92,53,4,1,12,4,14,99,47,94,44,5,3.5,3.3,2.1,A
2,9,6,17,97,56,84,46,2,2,14,4,13,95,52,97,56,4,3.25,3.3,2.2,D
1,8,7,16,107,57,66,32,2,5,11,4,12,109,55,92,52,1,3.1,3.3,2.3,H
1,19,2,13,80,47,135,84,7,2,19,1,8,103,46,91,44,7,2.0,3.5,3.6,A
1,20,1,7,83,44,132,73,8,1,12,7,22,112,61,76,36,2,1.67,3.75,5.0,A
3,15,1,6,73,38,82,39,6,3,9,5,15,103,57,85,44,2,3.7,3.4,2.0,A
1,12,4,11,84,51,101,63,5,0,17,2,9,81,47,131,75,8,9.0,5.0,1.33,H
1,18,1,7,85,43,133,72,8,2,17,2,9,105,48,86,44,6,2.0,3.4,3.7,A
4,11,4,11,105,52,90,52,2,2,8,6,16,89,52,92,44,2,3.1,3.4,2.25,D
1,9,5,14,109,57,94,44,4,1,11,7,18,111,56,84,39,2,3.1,3.3,2.3,A
3,14,3,12,92,46,100,55,4,1,5,8,15,106,55,64,29,1,3.0,3.3,2.38,A
1,19,1,8,87,42,126,67,8,0,20,2,9,79,48,128,69,8,3.2,3.3,2.25,H
0,5,9,16,106,55,60,28,1,3,10,5,17,114,62,79,41,2,3.25,3.3,2.2,A
3,14,3,12,88,43,99,52,4,3,9,5,14,84,48,89,42,2,3.1,3.4,2.25,D
4,12,4,12,99,51,89,49,2,2,18,1,7,72,37,89,46,7,3.7,3.4,2.0,D
2,18,2,10,97,42,85,43,6,1,9,5,15,108,58,90,45,4,2.75,3.3,2.5,D
1,12,7,19,109,54,85,41,2,1,11,5,15,92,55,96,60,4,3.5,3.3,2.1,D
4,9,4,12,79,41,88,42,2,0,7,8,16,108,53,66,32,2,3.2,3.4,2.2,D
2,17,1,6,74,40,97,50,7,4,13,3,12,87,41,86,40,3,3.4,3.4,2.1,A
2,10,6,18,117,68,84,43,2,5,11,3,9,90,40,84,48,2,3.0,3.4,2.3,A
1,17,7,24,116,59,91,43,2,3,15,2,10,94,39,78,38,5,3.5,3.4,2.1,A
0,22,1,9,74,40,132,70,9,2,8,5,15,100,52,88,41,3,1.67,3.6,5.25,A
2,16,5,21,99,60,105,65,3,1,17,2,9,83,38,110,54,7,8.5,5.0,1.36,D
2,19,1,8,77,44,99,52,7,2,11,5,17,111,62,80,40,3,3.75,3.4,2.0,H
4,15,3,12,84,42,94,46,3,2,9,5,16,87,48,95,45,3,4.0,3.4,1.91,D
1,7,7,15,107,51,67,34,2,2,18,2,12,87,38,118,59,6,15.0,6.0,1.2,H
3,14,3,12,98,44,67,35,4,4,11,4,10,90,41,83,47,2,2.1,3.2,3.6,D
1,18,7,24,121,63,95,49,2,3,17,5,23,103,59,105,61,2,3.0,3.25,2.38,A
3,9,4,14,83,44,97,44,3,1,17,2,10,79,43,101,49,7,2.5,3.3,2.75,A
1,13,5,15,105,58,79,40,4,4,15,3,12,79,37,93,47,3,2.9,3.3,2.38,A
5,12,3,10,96,42,76,45,2,0,20,1,10,79,43,138,75,9,15.0,6.0,1.2,H
2,16,2,12,84,35,130,64,6,1,20,6,24,117,63,96,55,3,1.73,3.6,4.75,A
2,19,6,26,106,61,113,68,2,1,8,7,15,115,58,67,32,2,2.6,3.3,2.63,A
1,7,7,14,108,55,68,30,2,1,12,5,14,101,53,74,35,4,3.8,3.4,1.95,A
4,15,3,12,81,39,96,47,3,2,18,1,8,80,33,130,65,7,13.0,6.0,1.22,H
3,10,4,15,94,47,66,33,3,3,11,4,13,71,41,86,38,3,3.2,3.4,2.2,D
0,24,0,6,70,37,145,77,10,2,17,6,25,108,61,106,64,2,1.57,3.8,6.0,A
1,17,7,26,110,64,94,56,2,5,8,4,14,103,44,67,39,1,2.3,3.3,3.1,H
4,11,3,10,70,39,90,39,3,0,22,0,5,73,38,141,70,10,9.0,5.0,1.33,H
1,12,5,13,107,59,77,38,4,4,7,4,14,101,52,68,35,2,3.5,3.3,2.1,H
2,19,1,9,78,34,127,68,7,1,15,3,13,79,42,94,46,6,1.4,4.5,8.0,A
5,8,3,12,96,36,61,34,2,1,7,6,11,96,47,85,41,3,3.5,3.3,2.1,H
2,17,6,23,122,64,103,64,2,4,12,4,13,87,43,87,41,2,3.0,3.25,2.38,A
1,16,3,14,68,41,92,47,6,2,16,6,23,110,59,94,55,2,4.5,3.5,1.8,D
1,12,5,13,108,60,76,40,4,2,19,5,22,121,61,97,58,3,3.25,3.3,2.2,D
4,9,4,15,95,52,72,36,2,2,18,1,9,79,35,128,71,7,8.5,4.5,1.36,H
4,8,4,13,113,42,61,33,2,4,12,4,14,90,42,83,38,2,3.75,3.4,2.0,H
0,24,0,5,70,37,143,72,10,1,7,6,12,95,47,94,43,3,1.4,4.5,7.5,A
3,16,5,20,111,58,95,54,2,0,24,0,5,65,33,134,67,10,10.0,5.0,1.3,H
4,11,4,14,86,39,87,40,2,3,9,5,19,96,57,71,36,2,4.0,3.4,1.91,H
1,8,6,13,88,45,89,41,3,2,13,3,14,69,40,93,46,5,3.2,3.2,2.3,D
3,19,4,21,111,55,99,57,3,3,12,4,13,80,49,89,43,3,3.5,3.3,2.1,A
1,22,1,9,78,35,129,76,8,2,12,4,11,112,60,73,38,4,1.62,3.8,5.5,A
3,12,3,16,73,41,89,43,4,0,23,0,4,62,30,126,64,10,15.0,7.0,1.17,H
1,23,1,11,77,36,130,79,8,3,12,4,13,82,55,88,41,3,1.67,3.75,5.0,A
3,7,5,17,88,53,72,34,2,2,10,5,12,84,42,93,42,3,2.5,3.3,2.75,A
3,7,5,13,113,43,57,30,2,3,19,3,18,111,51,100,63,4,5.0,3.75,1.67,H
3,15,5,19,103,55,92,51,2,3,9,5,13,84,38,83,38,2,2.8,3.4,2.4,H
3,13,4,13,87,56,88,42,3,1,12,6,15,112,60,71,37,3,2.88,3.2,2.5,A
2,11,5,13,90,50,106,50,3,3,15,5,20,103,55,89,48,2,3.7,3.4,2.0,H
3,20,3,19,113,50,97,62,4,1,24,1,12,75,37,137,86,8,9.0,4.5,1.36,H
3,12,4,19,79,45,92,47,3,3,7,6,16,118,52,61,31,1,2.88,3.3,2.4,D
0,24,0,5,61,30,127,65,10,3,9,4,16,94,56,76,39,3,1.67,3.75,5.0,A
3,16,4,19,103,54,89,47,3,1,11,6,13,108,56,70,35,3,3.0,3.2,2.38,H
3,9,5,12,86,40,76,32,2,4,11,4,20,76,44,79,41,2,2.8,3.25,2.5,A
3,8,6,17,118,54,58,32,1,3,12,4,12,87,54,94,44,3,6.0,3.75,1.57,H
3,9,4,16,112,64,82,46,3,3,21,3,19,118,52,103,63,4,2.9,3.25,2.4,H
1,26,1,12,80,40,147,88,8,0,22,0,6,68,35,140,73,10,3.1,3.2,2.3,A
2,12,5,17,92,46,91,47,3,2,10,5,18,117,68,79,45,3,3.6,3.3,2.05,H
3,12,5,22,73,40,67,39,2,2,17,3,14,107,44,96,56,5,4.5,3.5,1.8,A
0,21,1,8,66,36,147,77,9,2,11,5,13,80,38,76,33,3,1.4,4.5,8.0,A
1,14,5,13,111,57,66,34,4,2,8,7,20,111,54,56,29,1,2.3,3.3,3.1,H
2,10,6,14,84,50,107,49,2,2,15,4,12,88,56,98,48,4,5.0,3.5,1.73,A
1,14,6,15,104,52,62,31,3,0,22,1,7,59,31,160,82,9,13.0,6.0,1.22,H
2,11,4,16,109,60,79,46,4,3,10,5,20,67,33,67,38,2,2.6,3.4,2.6,A
1,14,4,12,97,39,92,52,5,3,14,3,10,109,61,83,39,4,2.6,3.2,2.75,A
1,13,6,14,91,55,117,54,3,2,9,5,13,89,40,69,27,3,3.4,3.4,2.1,A
2,14,4,13,96,60,97,46,4,2,10,6,18,92,47,83,39,2,2.5,3.3,2.75,A
1,26,0,9,83,41,145,92,9,2,10,6,20,107,51,49,24,2,1.3,5.0,10.0,A
3,15,3,11,98,53,85,41,4,1,10,7,24,110,57,59,31,2,3.0,3.25,2.38,A
1,10,7,22,111,58,56,28,2,1,11,4,15,110,59,75,47,5,5.75,3.8,1.6,A
0,30,1,7,55,31,154,75,9,1,15,4,12,96,60,98,49,5,1.57,3.8,6.0,H
3,10,5,17,70,36,61,36,2,1,15,5,12,78,44,119,57,4,3.4,3.4,2.1,H
1,8,6,15,90,45,70,25,3,1,14,3,10,92,34,88,49,6,4.33,3.5,1.83,H
2,7,7,18,86,41,74,32,1,1,27,0,9,86,44,143,92,9,15.0,5.5,1.22,A
1,18,4,11,82,45,124,61,5,1,12,4,13,109,56,75,47,5,3.6,3.5,2.0,D
3,13,3,12,105,55,85,37,4,3,10,5,16,75,38,66,39,2,2.7,3.25,2.6,A
1,17,3,10,90,36,95,54,6,2,10,6,15,90,47,70,31,2,2.63,3.3,2.63,H
1,10,8,26,113,57,62,32,1,1,24,1,12,82,43,147,98,8,15.0,7.0,1.17,H
1,13,4,12,100,61,99,50,5,1,8,6,18,91,49,70,27,3,2.38,3.25,3.0,A
0,26,2,9,63,35,144,69,8,1,12,6,19,100,53,63,30,3,1.29,5.5,9.5,A
1,7,6,18,89,46,72,26,3,1,10,8,27,113,54,56,28,1,3.0,3.4,2.3,A
