away-draws,away-goals,away-losses,away-opposition-goals,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-wins,odds-away,odds-draw,odds-home,result
6,12,1,8,3,2010-03-21,2,11,4,14,4,2.38,3.4,2.9,H
3,10,4,8,3,2010-03-21,2,8,7,19,1,4.0,3.5,1.85,D
5,13,2,10,3,2010-03-21,2,11,4,13,4,4.0,3.6,1.85,A
5,11,2,8,3,2010-07-30,2,9,5,15,3,4.75,3.6,1.73,D
3,18,2,12,5,2010-07-31,3,19,2,14,5,1.91,3.3,3.75,H
0,10,7,25,3,2010-07-31,2,11,3,10,5,3.8,3.3,1.91,H
5,14,2,10,3,2010-07-31,3,9,4,7,3,2.3,3.2,2.9,A
1,9,8,19,1,2010-08-01,0,21,2,8,8,4.0,3.5,1.8,D
3,5,7,24,0,2010-08-01,3,12,3,9,4,3.75,3.3,1.91,H
0,29,1,6,9,2010-08-07,2,10,7,19,1,1.5,3.8,7.0,D
2,10,3,9,5,2010-08-07,3,14,3,12,4,9.0,4.75,1.33,H
3,19,1,10,6,2010-08-07,0,8,8,27,2,3.25,3.4,2.15,D
2,12,3,10,5,2010-08-07,6,11,2,9,2,3.6,3.4,2.0,A
2,14,3,10,5,2010-08-08,4,13,2,8,4,3.6,3.4,2.0,A
1,20,2,9,7,2010-08-08,3,6,7,24,0,4.0,3.4,1.9,D
4,5,6,20,0,2010-08-14,1,25,1,6,8,9.0,5.0,1.33,H
1,11,4,13,5,2010-08-14,3,18,1,9,6,4.0,3.4,1.91,H
1,8,7,26,2,2010-08-14,3,14,3,11,4,6.5,3.8,1.53,D
6,11,2,9,2,2010-08-14,2,10,4,7,4,3.3,3.25,2.2,D
3,18,2,11,5,2010-08-15,2,16,2,8,6,1.67,3.75,5.0,H
3,9,6,16,1,2010-08-15,2,15,3,9,5,7.0,4.33,1.44,H
3,17,3,14,4,2010-08-20,1,9,5,14,4,2.15,3.3,3.3,H
3,10,3,6,4,2010-08-21,4,5,6,21,0,3.2,3.25,2.25,D
1,24,1,6,8,2010-08-21,2,10,6,25,2,1.62,3.75,5.5,A
2,17,2,8,6,2010-08-21,7,10,2,10,1,3.6,3.4,2.0,H
3,9,3,11,4,2010-08-22,3,7,6,18,1,2.05,3.4,3.5,A
1,13,3,10,6,2010-08-22,3,17,3,13,4,5.75,3.6,1.62,A
7,12,2,10,1,2010-08-28,1,24,1,4,8,10.0,5.25,1.25,D
2,8,7,27,1,2010-08-28,2,15,3,12,5,3.2,3.1,2.2,D
1,10,4,12,5,2010-08-28,1,14,2,9,7,4.5,3.3,1.75,D
3,18,0,7,7,2010-08-28,3,14,4,14,3,4.5,3.3,1.75,H
5,5,5,16,0,2010-08-29,2,12,3,12,5,6.0,3.6,1.53,H
3,16,3,12,4,2010-08-29,4,9,3,6,3,2.38,3.2,2.8,A
2,23,0,2,8,2010-09-10,2,10,3,11,5,1.73,3.6,4.75,A
3,9,5,15,2,2010-09-11,5,5,5,16,0,4.33,3.5,1.83,H
2,13,2,9,6,2010-09-11,3,16,1,7,6,3.25,3.3,2.2,H
3,15,2,10,5,2010-09-11,3,12,4,12,3,7.0,4.0,1.5,H
2,22,3,10,5,2010-09-12,2,17,3,12,5,2.9,3.3,2.4,D
3,9,4,7,3,2010-09-12,3,8,6,25,1,3.1,3.3,2.3,H
3,14,3,11,4,2010-09-17,2,12,2,8,6,2.3,3.4,3.0,H
2,8,4,12,4,2010-09-18,3,14,3,12,4,3.4,3.4,2.1,H
3,10,6,26,1,2010-09-18,2,23,3,11,5,8.0,4.75,1.36,H
3,15,1,7,6,2010-09-19,2,23,0,2,8,9.5,5.0,1.3,H
2,18,3,13,5,2010-09-19,3,9,5,15,2,1.83,3.4,4.0,A
7,10,2,8,1,2010-09-19,2,14,2,11,6,5.75,3.7,1.6,H
2,26,2,11,6,2010-09-21,2,9,5,16,3,1.8,3.6,4.33,A
3,8,4,9,3,2010-09-22,3,12,2,9,5,4.0,3.3,1.95,A
2,19,1,13,7,2010-09-22,3,11,6,25,1,2.2,3.4,3.2,H
3,17,3,14,4,2010-09-22,2,13,1,6,7,4.0,3.4,1.91,D
2,9,6,20,2,2010-09-22,3,13,4,12,3,7.0,4.0,1.4,H
3,5,5,14,2,2010-09-22,6,13,3,13,1,3.5,3.4,2.05,H
2,12,3,10,5,2010-09-25,4,15,3,16,3,3.2,3.25,2.25,H
5,16,3,15,2,2010-09-25,2,27,1,9,7,6.0,4.0,1.53,H
